Ticker,Name,Sector,Industry,Price,Collection,Ratios Code
A,Agilent Technologies Inc.,Healthcare,Medical Laboratories & Research,WIKI/A,stocks/a,DMDRN/A_ALLFINANCIALRATIOS
AA,Alcoa Inc.,Basic Materials,Aluminum,WIKI/AA,stocks/aa,DMDRN/AA_ALLFINANCIALRATIOS
AAPL,Apple Inc.,Consumer Goods,Electronic Equipment,WIKI/AAPL,stocks/aapl,DMDRN/AAPL_ALLFINANCIALRATIOS
ABC,AmerisourceBergen Corporation,Services,Drugs Wholesale,WIKI/ABC,stocks/abc,DMDRN/ABC_ALLFINANCIALRATIOS
ABT,Abbott Laboratories,Healthcare,Medical Appliances & Equipment,WIKI/ABT,stocks/abt,DMDRN/ABT_ALLFINANCIALRATIOS
ACE,ACE Limited,Financial,Property & Casualty Insurance,WIKI/ACE,stocks/ace,DMDRN/ACE_ALLFINANCIALRATIOS
ACN,Accenture plc,Technology,Information Technology Services,WIKI/ACN,stocks/acn,DMDRN/ACN_ALLFINANCIALRATIOS
ADBE,Adobe Systems Inc.,Technology,Application Software,WIKI/ADBE,stocks/adbe,DMDRN/ADBE_ALLFINANCIALRATIOS
ADI,"Analog Devices, Inc.",Technology,Semiconductor - Integrated Circuits,WIKI/ADI,stocks/adi,DMDRN/ADI_ALLFINANCIALRATIOS
ADM,Archer Daniels Midland Company,Consumer Goods,Farm Products,WIKI/ADM,stocks/adm,DMDRN/ADM_ALLFINANCIALRATIOS
ADP,"Automatic Data Processing, Inc.",Technology,Business Software & Services,WIKI/ADP,stocks/adp,DMDRN/ADP_ALLFINANCIALRATIOS
ADS,Alliance Data Systems Corporation,Services,Business Services,WIKI/ADS,stocks/ads,DMDRN/ADS_ALLFINANCIALRATIOS
ADSK,"Autodesk, Inc.",Technology,Technical & System Software,WIKI/ADSK,stocks/adsk,DMDRN/ADSK_ALLFINANCIALRATIOS
ADT,The ADT Corporation,Services,Security & Protection Services,WIKI/ADT,stocks/adt,DMDRN/ADT_ALLFINANCIALRATIOS
AEE,Ameren Corporation,Utilities,Diversified Utilities,WIKI/AEE,stocks/aee,DMDRN/AEE_ALLFINANCIALRATIOS
AEP,"American Electric Power Co., Inc.",Utilities,Electric Utilities,WIKI/AEP,stocks/aep,DMDRN/AEP_ALLFINANCIALRATIOS
AES,The AES Corporation,Utilities,Electric Utilities,WIKI/AES,stocks/aes,DMDRN/AES_ALLFINANCIALRATIOS
AET,Aetna Inc.,Healthcare,Health Care Plans,WIKI/AET,stocks/aet,DMDRN/AET_ALLFINANCIALRATIOS
AGN,Allergan Inc.,Healthcare,Drug Manufacturers - Other,WIKI/AGN,stocks/agn,DMDRN/AGN_ALLFINANCIALRATIOS
AIG,"American International Group, Inc.",Financial,Property & Casualty Insurance,WIKI/AIG,stocks/aig,DMDRN/AIG_ALLFINANCIALRATIOS
AIV,Apartment Investment and Management Company,Financial,REIT - Residential,WIKI/AIV,stocks/aiv,DMDRN/AIV_ALLFINANCIALRATIOS
AIZ,Assurant Inc.,Financial,Accident & Health Insurance,WIKI/AIZ,stocks/aiz,DMDRN/AIZ_ALLFINANCIALRATIOS
AKAM,"Akamai Technologies, Inc.",Technology,Internet Information Providers,WIKI/AKAM,stocks/akam,DMDRN/AKAM_ALLFINANCIALRATIOS
ALL,The Allstate Corporation,,,WIKI/ALL,stocks/all,DMDRN/ALL_ALLFINANCIALRATIOS
ALTR,Altera Corp.,Technology,Semiconductor - Specialized,WIKI/ALTR,stocks/altr,DMDRN/ALTR_ALLFINANCIALRATIOS
ALXN,"Alexion Pharmaceuticals, Inc.",Healthcare,Biotechnology,WIKI/ALXN,stocks/alxn,DMDRN/ALXN_ALLFINANCIALRATIOS
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,WIKI/AMAT,stocks/amat,DMDRN/AMAT_ALLFINANCIALRATIOS
AME,Ametek Inc.,Industrial Goods,Diversified Machinery,WIKI/AME,stocks/ame,DMDRN/AME_ALLFINANCIALRATIOS
AMG,Affiliated Managers Group Inc.,Financial,Asset Management,WIKI/AMG,stocks/amg,DMDRN/AMG_ALLFINANCIALRATIOS
AMGN,Amgen Inc.,Healthcare,Biotechnology,WIKI/AMGN,stocks/amgn,DMDRN/AMGN_ALLFINANCIALRATIOS
AMP,"Ameriprise Financial, Inc.",Financial,Asset Management,WIKI/AMP,stocks/amp,DMDRN/AMP_ALLFINANCIALRATIOS
AMZN,Amazon.com Inc.,Services,Catalog & Mail Order Houses,WIKI/AMZN,stocks/amzn,DMDRN/AMZN_ALLFINANCIALRATIOS
AN,AutoNation Inc.,Services,Auto Dealerships,WIKI/AN,stocks/an,DMDRN/AN_ALLFINANCIALRATIOS
