Symbol,Date,CASH_REV,EV_EBITDA,MKT_CAP,PE_CURR,ROE
A,2002-10-31,0.30682,N/A,13456.5,N/A,-0.22088
A,2011-10-31,0.5332,9.68,14160.7,13.99,0.2349
A,2008-10-31,0.24749,10.85969,10456.9,15.08932,0.27081
A,2004-10-31,0.35942,21.82935,16746.6,47.98453,0.09779
A,2007-10-31,0.3369,6.6418,5570.5,9.13197,0.18862
A,2006-10-31,0.45486,17.12101,14373.2,27.37752,0.14391
A,2009-10-31,0.55635,63.37321,14222.0,N/A,-0.01237
A,2012-10-31,N/A,13.77096,18976.2,26.21022,0.13971
A,2010-10-31,0.77131,15.08971,12096.9,19.38606,0.19331
A,2001-10-31,0.30682,N/A,8817.4,N/A,-0.22088
A,2005-10-31,0.32459,17.15056,14462.2,29.27571,0.12105
A,2003-10-31,0.22378,338.12336,11668.9,N/A,-0.63385
AA,2008-12-31,0.02833,7.5243,15590.0,68.0786,0.01961
AA,2007-12-31,0.01571,3.02595,7515.0,2.93097,0.16064
AA,2004-12-31,0.01781,9.32387,25767.0,19.2205,0.1008
AA,2011-12-31,0.0777,5.1,9199.3,12.22,0.0544
AA,2009-12-31,0.08032,66.29861,15463.2,N/A,-0.07966
AA,2010-12-31,0.07343,6.32178,9472.1,36.15305,0.01925
AA,2006-12-31,0.01666,6.70125,31373.0,12.35157,0.17426
AA,2005-12-31,0.02913,8.66391,26030.3,20.67045,0.09417
AA,2003-12-31,0.02464,8.28955,27576.7,26.66992,0.08563
AA,2002-12-31,0.02038,15.22444,32346.9,41.20624,0.07952
AA,2001-12-31,0.02305,5.21454,18742.8,14.8399,0.11962
AA,2012-12-31,N/A,9.35656,11369.9,59.52827,0.0219
AA,2000-12-31,0.01618,6.82224,29853.0,20.04903,0.13036
AAPL,2008-09-27,0.75403,7.56566,75543.1,15.62745,0.22986
AAPL,2003-09-27,0.73562,21.79783,7270.1,95.65921,0.018
AAPL,2001-09-27,0.50445,4.92412,7531.7,12.32684,0.14877
AAPL,2002-09-27,0.75531,4.10934,5179.8,44.27179,0.02857
AAPL,2009-09-27,0.6422,18.9435,181850.6,31.88124,0.20494
AAPL,2005-09-27,0.59299,29.06907,61432.4,48.98915,0.16796
AAPL,2010-09-27,0.39279,14.02312,297836.8,21.25432,0.29321
AAPL,2012-09-27,0.1861,7.77,483748.5,11.59,0.353
AAPL,2004-09-27,0.55152,81.57885,24721.6,325.28421,0.018
AAPL,2013-09-27,N/A,9.09702,500739.0,13.51997,0.31332
AAPL,2006-09-27,0.59299,33.03051,68673.8,54.7638,0.16796
AAPL,2011-09-27,0.23974,9.67339,370363.3,14.28761,0.33834
AAPL,2007-09-27,0.64092,33.39657,173218.2,49.54754,0.24057
ABC,2013-09-30,N/A,14.35012,16173.6,37.29214,0.17667
ABC,2001-09-30,0.0104,15.61689,3367.7,34.01717,0.35069
ABC,2008-09-30,0.01796,6.05079,5407.8,10.9514,0.15931
ABC,2010-09-30,0.01441,10.14667,9599.6,18.75288,0.18844
ABC,2005-09-30,0.01742,9.49251,8664.5,18.49808,0.10795
ABC,2004-09-30,0.0165,7.28374,6465.1,14.39248,0.11215
ABC,2003-09-30,0.01648,10.45009,7127.7,19.82119,0.10843
ABC,2006-09-30,0.02631,11.66131,9063.5,25.40931,0.08333
ABC,2009-09-30,0.01301,8.80134,7818.8,16.66766,0.1731
ABC,2002-09-30,0.01648,8.06852,5732.8,15.94216,0.10843
ABC,2011-09-30,0.02127,8.21191,10087.6,15.84357,0.21552
ABC,2012-09-30,0.0228,7.75,10859.2,15.37,0.2465
ABC,2007-09-30,0.02345,9.3423,8219.4,17.56282,0.11301
ABT,2008-12-31,0.13926,12.08018,83663.1,17.67207,0.27084
ABT,2007-12-31,0.10885,13.42744,81690.8,18.44328,0.24914
ABT,2004-12-31,0.09383,12.13771,62592.0,17.76768,0.24591
ABT,2011-12-31,0.1754,9.2,102822.4,14.03,0.2999
ABT,2009-12-31,0.28634,9.19875,73951.8,12.73889,0.25399
ABT,2010-12-31,0.10375,9.56296,86691.3,13.33487,0.29038
ABT,2006-12-31,0.0611,15.61658,88049.6,22.91884,0.27336
ABT,2005-12-31,0.13234,12.79864,75100.8,19.21474,0.27114
ABT,2003-12-31,0.0639,11.65636,72200.7,20.7521,0.26615
ABT,2002-12-31,0.05463,15.2726,72711.6,22.42524,0.30403
ABT,2001-12-31,0.04381,11.84682,59298.4,20.14144,0.32498
ABT,2012-12-31,N/A,5.63064,59265.3,9.93901,0.11253
ABT,2000-12-31,0.08415,18.00348,88120.4,31.62972,0.32505
ACE,2008-12-31,N/A,N/A,16797.2,6.54351,0.18158
ACE,2007-12-31,N/A,N/A,17179.0,6.50966,0.18356
ACE,2004-12-31,N/A,N/A,15333.4,15.5954,0.09996
ACE,2011-12-31,N/A,N/A,27049.7,11.4,0.0968
