Date,Open,High,Low,Close,Volume
2014-12-10,205.91,205.98,202.93,203.16,159856394.0
2014-12-09,204.37,206.6,203.91,206.47,125180054.0
2014-12-08,207.52,208.12,205.93,206.61,108588152.0
2014-12-05,207.87,208.47,207.55,208.0,91025470.0
2014-12-04,207.54,208.26,206.7,207.66,91316591.0
2014-12-03,207.3,208.15,207.1,207.89,68951968.0
2014-12-02,205.81,207.34,205.78,207.08,74507192.0
2014-12-01,206.4,206.54,205.38,205.76,103968354.0
2014-11-28,207.49,207.87,206.91,207.2,57890088.0
2014-11-26,207.29,207.76,207.03,207.64,62167832.0
2014-11-25,207.54,207.79,206.8,207.11,79108301.0
2014-11-24,207.17,207.39,206.91,207.26,65880759.0
2014-11-21,207.64,207.84,205.98,206.68,142327285.0
2014-11-20,204.26,205.71,204.18,205.58,72840326.0
2014-11-19,205.31,205.55,204.3,205.22,82373009.0
2014-11-18,204.44,205.92,204.44,205.55,76068107.0
2014-11-17,203.85,204.58,203.65,204.37,80440954.0
2014-11-14,204.1,204.49,203.72,204.24,80417514.0
2014-11-13,204.16,204.83,203.21,204.19,85357918.0
2014-11-12,203.35,204.24,203.31,203.96,90120295.0
2014-11-11,204.06,204.31,203.65,204.18,54499375.0
2014-11-10,203.38,204.04,203.13,203.98,66318964.0
2014-11-07,203.17,203.6,202.61,203.34,89539712.0
2014-11-06,202.39,203.26,201.64,203.15,107089076.0
2014-11-05,202.54,202.59,201.45,202.34,91708574.0
2014-11-04,201.23,201.6,200.06,201.07,93342777.0
2014-11-03,201.92,202.45,201.3,201.77,93734143.0
2014-10-31,201.78,201.82,200.77,201.66,146902554.0
2014-10-30,197.58,199.95,197.4,199.38,113329976.0
2014-10-29,198.55,199.12,196.8,198.11,142557417.0
2014-10-28,196.82,198.42,196.73,198.41,106735936.0
2014-10-27,195.73,196.45,195.03,196.16,82953689.0
2014-10-24,195.25,196.49,194.49,196.43,117927286.0
2014-10-23,194.62,196.2,194.26,194.93,154944169.0
2014-10-22,194.41,194.91,192.61,192.69,151822409.0
2014-10-21,191.68,194.2,191.48,194.07,154948579.0
2014-10-20,188.13,190.45,188.07,190.3,130010813.0
2014-10-17,188.42,189.75,187.62,188.47,214624921.0
2014-10-16,183.06,187.58,182.89,186.27,270391488.0
2014-10-15,185.16,187.69,181.92,186.43,380714598.0
2014-10-14,188.42,189.82,187.04,187.7,215846527.0
2014-10-13,190.46,191.15,187.3,187.41,230938833.0
